Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	NCAM1	1	0	0	1
Dexamethasone	FEZF2	1	0	0	1
Dexamethasone	ACSL3	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	TNNT3	0.999999994	0	0	0.999999994
Dexamethasone	CD244	0.874254036	0	0	0.874254036
Dexamethasone	CTLA4	1	0	0	1
Dexamethasone	DRD3	0.999994574	0	0	0.999994574
Dexamethasone	TXK	0.653938123	0	0	0.653938123
Dexamethasone	NPPA	1	0	0	1
Dexamethasone	MGAT3	0.89912808	0	0	0.89912808
Dexamethasone	CCNH	0.99999201	0	0	0.99999201
Dexamethasone	NCOA3	0.999999999	0	0	0.999999999
Dexamethasone	CYTIP	0.999999125	0	0	0.999999125
Dexamethasone	PRIMA1	0.959798661	0	0	0.959798661
Dexamethasone	MAPT	1	0	0	1
Dexamethasone	RIPK2	0.995522345333333	0	0.333333333333333	0.993283518
Dexamethasone	AP2M1	0.100228479	0	0	0.100228479
Dexamethasone	DLGAP4	0.49579179	0	0	0.49579179
Dexamethasone	EARS2	0.75408853	0	0	0.75408853
Dexamethasone	HSPB8	0.89371627	0	0	0.89371627
Dexamethasone	CALU	0.603062278	0	0	0.603062278
Dexamethasone	RICTOR	0.999996598	0	0	0.999996598
Dexamethasone	RUNX2	0.619399822	0	0	0.619399822
Dexamethasone	PSMA3	0.124103717	0	0	0.124103717
Dexamethasone	CHMP1A	0.337108998	0	0	0.337108998
Dexamethasone	ALPK1	0.999999998	0	0	0.999999998
Dexamethasone	FBLN1	0.969041195	0	0	0.969041195
Dexamethasone	IL12RB1	0.930482327714286	0	0.0952380952380952	0.923164678
Dexamethasone	CHDH	1	0	0	1
Dexamethasone	SYP	0.999999935	0	0	0.999999935
Dexamethasone	TFEB	0.090102328	0	0	0.090102328
Dexamethasone	ERBB2	1	0	0.0952380952380952	1
Dexamethasone	PON3	0.106812226	0	0	0.106812226
Dexamethasone	PNMT	1	0	0	1
